"condition (1-haptic fist, 2-visual first, 3-visual sec",participant,mean fixation duration,number of fixations,average X position,average Y position,coverage,number saccades,mean saccadic speed (deg/sec),mean saccadic duration (msec),mean saccadic amplitude (deg)
1,1,816.895601851852,1,967.072986111111,553.649560185185,NaN,1.00231481481481,59.3239699992629,0.0586549933862434,1.86963959664585
2,1,1179.41087962963,1.00625,967.154375,571.373819444444,NaN,1.00277777777778,57.3387029756111,0.0577335648148148,1.59725714377042
3,1,1298.26,1,934.88369047619,551.821976190476,NaN,1,56.369000337719,0.0761116666666667,1.85378374736982
1,2,803.109230769231,1,982.462912087912,539.057326007326,NaN,1,92.8357021749798,0.0711536996336996,3.63582230605935
2,2,1004.08098591549,1,976.210751173709,517.191103286385,NaN,1,63.7984270021233,0.0936176056338028,2.14959406865333
3,2,834.542995169082,1,973.88729468599,542.775048309179,NaN,1,73.4254811369143,0.0915864285714286,2.40927775892428
1,3,543.601851851852,1.00231481481481,979.983961640212,512.492063492063,NaN,1.00231481481481,89.2509778308299,0.0392156084656085,3.53945578392849
2,3,585.919708994709,1,952.425806878307,506.205304232804,NaN,1.00462962962963,81.5592882692485,0.0409964947089947,3.16425052288372
3,3,601.854894179894,1,951.381084656085,492.958128306878,NaN,1.00231481481481,79.6653170201332,0.0449699735449735,3.19300876203789
1,4,533.329166666667,1,925.698472222222,476.078935185185,NaN,1,81.7905035906913,0.03445,2.78575540574194
2,4,538.466005291005,1.00231481481481,938.673247354497,491.30873015873,NaN,1,79.9836369221632,0.0326092592592593,2.58872048738429
3,4,525.328703703704,1,936.15462962963,454.21875,NaN,1.00231481481481,80.1397878859536,0.0325472883597884,2.68852344717408
1,5,433.029166666667,1,983.67412037037,510.928958333333,NaN,1,57.9042488320988,0.0813861111111111,2.98176130377172
2,5,428.918915343915,1.00787037037037,982.318756613757,510.851018518518,NaN,1.00277777777778,53.2882395772357,0.0888625,2.61454079939755
3,5,455.633101851852,1.00277777777778,991.587268518518,499.795231481481,NaN,1,47.3383279133663,0.0909087962962963,2.33273679970112
1,6,652.580092592593,1,942.112685185185,530.042996031746,NaN,1,67.4171259706633,0.0734638888888889,2.67385364474575
2,6,745.382175925926,1,950.670168650794,545.729890873016,NaN,1.00509259259259,61.1742638650464,0.0653282738095238,2.00685439252799
3,6,715.34246031746,1,936.440281084656,534.2916005291,NaN,1.00509259259259,63.7379768498796,0.0672155753968254,2.22037429318985
1,7,607.122189153439,1.00231481481481,955.91167989418,513.511266534392,NaN,1.00231481481481,64.247497603094,0.0831718915343915,3.04935212788483
2,7,618.386574074074,1,965.702407407407,515.63912037037,NaN,1.00231481481481,58.9750908876204,0.0850945105820106,2.61374938047407
3,7,628.144444444445,1,942.955972222222,505.30162037037,NaN,1,60.0760091814216,0.090875462962963,2.80038056705503
1,8,992.938095238095,1,1006.35107142857,499.022857142857,NaN,1,62.4374185645685,0.0960321428571429,2.04430272322323
